_key,ल्युट्,अनीयर्,ण्वुल्,तुमुन्,तव्य,तृच्,क्त्वा,ल्यप्,क्तवतुँ,क्त,शतृँ,शानच्,शतृ
01.0040,च्योतनम्,"च्योतनीयः,च्योतनीया","च्योतकः,च्योतिका",च्योतितुम्,"च्योतितव्यः,च्योतितव्या","च्योतिता,च्योतित्री","च्योतित्वा,च्युतित्वा",प्रच्युत्य,"च्युतितवान्,च्योतितवान्,च्युतितवती,च्योतितवती","च्युतितः,च्योतितः,च्युतिता,च्योतिता","च्योतन्,च्योतन्ती",,
01.0041,श्चोतनम्,"श्चोतनीयः,श्चोतनीया","श्चोतकः,श्चोतिका",श्चोतितुम्,"श्चोतितव्यः,श्चोतितव्या","श्चोतिता,श्चोतित्री","श्चोतित्वा,श्चुतित्वा",प्रश्चुत्य,"श्चुतितवान्,श्चोतितवान्,श्चुतितवती,श्चोतितवती","श्चुतितः,श्चोतितः,श्चुतिता,श्चोतिता","श्चोतन्,श्चोतन्ती",,
01.0042,श्च्योतनम्,"श्च्योतनीयः,श्च्योतनीया","श्च्योतकः,श्च्योतिका",श्च्योतितुम्,"श्च्योतितव्यः,श्च्योतितव्या","श्च्योतिता,श्च्योतित्री","श्च्योतित्वा,श्च्युतित्वा",प्रश्च्युत्य,"श्च्युतितवान्,श्च्योतितवान्,श्च्युतितवती,श्च्योतितवती","श्च्युतितः,श्च्योतितः,श्च्युतिता,श्च्योतिता","श्च्योतन्,श्च्योतन्ती",,
01.0043,ज्योतनम्,"ज्योतनीयः,ज्योतनीया","ज्योतकः,ज्योतिका",ज्योतितुम्,"ज्योतितव्यः,ज्योतितव्या","ज्योतिता,ज्योतित्री","ज्योतित्वा,ज्युतित्वा",प्रज्युत्य,"ज्युतितवान्,ज्योतितवान्,ज्युतितवती,ज्योतितवती","ज्युतितः,ज्योतितः,ज्युतिता,ज्योतिता","ज्योतन्,ज्योतन्ती",,
01.0044,मन्थनम्,"मन्थनीयः,मन्थनीया","मन्थकः,मन्थिका",मन्थितुम्,"मन्थितव्यः,मन्थितव्या","मन्थिता,मन्थित्री",मन्थित्वा,प्रमन्थ्य,"मन्थितवान्,मन्थितवती","मन्थितः,मन्थिता","मन्थन्,मन्थन्ती",,
01.0045,कुन्थनम्,"कुन्थनीयः,कुन्थनीया","कुन्थकः,कुन्थिका",कुन्थितुम्,"कुन्थितव्यः,कुन्थितव्या","कुन्थिता,कुन्थित्री",कुन्थित्वा,प्रकुन्थ्य,"कुन्थितवान्,कुन्थितवती","कुन्थितः,कुन्थिता","कुन्थन्,कुन्थन्ती",,
01.0046,पुन्थनम्,"पुन्थनीयः,पुन्थनीया","पुन्थकः,पुन्थिका",पुन्थितुम्,"पुन्थितव्यः,पुन्थितव्या","पुन्थिता,पुन्थित्री",पुन्थित्वा,प्रपुन्थ्य,"पुन्थितवान्,पुन्थितवती","पुन्थितः,पुन्थिता","पुन्थन्,पुन्थन्ती",,
01.0047,लुन्थनम्,"लुन्थनीयः,लुन्थनीया","लुन्थकः,लुन्थिका",लुन्थितुम्,"लुन्थितव्यः,लुन्थितव्या","लुन्थिता,लुन्थित्री",लुन्थित्वा,प्रलुन्थ्य,"लुन्थितवान्,लुन्थितवती","लुन्थितः,लुन्थिता","लुन्थन्,लुन्थन्ती",,
01.0048,मन्थनम्,"मन्थनीयः,मन्थनीया","मन्थकः,मन्थिका",मन्थितुम्,"मन्थितव्यः,मन्थितव्या","मन्थिता,मन्थित्री","मन्थित्वा,मथित्वा",प्रमथ्य,"मथितवान्,मथितवती","मथितः,मथिता","मन्थन्,मन्थन्ती",,
01.0049,सेधनम्,"सेधनीयः,सेधनीया","सेधकः,सेधिका",सेधितुम्,"सेधितव्यः,सेधितव्या","सेधिता,सेधित्री","सेधित्वा,सिधित्वा",प्रसिध्य,"सिधितवान्,सिधितवती","सिधितः,सिधिता","सेधन्,सेधन्ती",,
